Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
31,2,29/09/2021 21:00,Stadion Salzburg,Salzburg,LOSC,Group G,2 - 1
32,2,29/09/2021 21:00,Juventus Stadium,Juventus,Chelsea,Group H,1 - 0
33,3,19/10/2021 18:45,Jan Breydelstadion,Club Brugge,Man. City,Group A,1 - 5
34,3,19/10/2021 18:45,Besiktas Park,Besiktas,Sporting CP,Group C,1 - 4
35,3,19/10/2021 21:00,Parc des Princes,Paris,Leipzig,Group A,3 - 2
36,3,19/10/2021 21:00,Estádio do Dragão,Porto,Milan,Group B,1 - 0
37,3,19/10/2021 21:00,Estadio Metropolitano,Atlético,Liverpool,Group B,2 - 3
38,3,19/10/2021 21:00,Johan Cruijff ArenA,Ajax,Dortmund,Group C,4 - 0
39,3,19/10/2021 21:00,Stadio San Siro,Inter,Sheriff,Group D,3 - 1
40,3,19/10/2021 21:00,NSC Olimpiyskiy,Shakhtar Donetsk,Real Madrid,Group D,0 - 5
41,3,20/10/2021 18:45,Camp Nou,Barcelona,Dynamo Kyiv,Group E,1 - 0
42,3,20/10/2021 18:45,Stadion Salzburg,Salzburg,Wolfsburg,Group G,3 - 1
43,3,20/10/2021 21:00,Estádio do SL Benfica,Benfica,Bayern,Group E,0 - 4
44,3,20/10/2021 21:00,Stadion Wankdorf,Young Boys,Villarreal,Group F,1 - 4
45,3,20/10/2021 21:00,Old Trafford,Man. United,Atalanta,Group F,3 - 2
46,3,20/10/2021 21:00,Stade Pierre Mauroy,LOSC,Sevilla,Group G,0 - 0
47,3,20/10/2021 21:00,Stamford Bridge,Chelsea,Malmö,Group H,4 - 0
48,3,20/10/2021 21:00,Gazprom Arena,Zenit,Juventus,Group H,0 - 1
49,4,02/11/2021 18:45,VfL Wolfsburg Arena,Wolfsburg,Salzburg,Group G,2 - 1
50,4,02/11/2021 18:45,Malmö New Stadium,Malmö,Chelsea,Group H,0 - 1
51,4,02/11/2021 21:00,NSC Olimpiyskiy,Dynamo Kyiv,Barcelona,Group E,0 - 1
52,4,02/11/2021 21:00,Fußball Arena München,Bayern,Benfica,Group E,5 - 2
53,4,02/11/2021 21:00,Estadio de la Cerámica,Villarreal,Young Boys,Group F,2 - 0
54,4,02/11/2021 21:00,Stadio di Bergamo,Atalanta,Man. United,Group F,2 - 2
55,4,02/11/2021 21:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,LOSC,Group G,1 - 2
56,4,02/11/2021 21:00,Juventus Stadium,Juventus,Zenit,Group H,4 - 2
57,4,03/11/2021 18:45,Stadio San Siro,Milan,Porto,Group B,1 - 1
58,4,03/11/2021 18:45,Estadio Santiago Bernabéu,Real Madrid,Shakhtar Donetsk,Group D,2 - 1
59,4,03/11/2021 21:00,City of Manchester Stadium,Man. City,Club Brugge,Group A,4 - 1
60,4,03/11/2021 21:00,RB Arena,Leipzig,Paris,Group A,2 - 2
61,4,03/11/2021 21:00,Anfield,Liverpool,Atlético,Group B,2 - 0
62,4,03/11/2021 21:00,Estádio José Alvalade,Sporting CP,Besiktas,Group C,4 - 0
63,4,03/11/2021 21:00,BVB Stadion Dortmund,Dortmund,Ajax,Group C,1 - 3
64,4,03/11/2021 21:00,Sheriff Stadion,Sheriff,Inter,Group D,1 - 3
65,5,23/11/2021 18:45,NSC Olimpiyskiy,Dynamo Kyiv,Bayern,Group E,1 - 2
66,5,23/11/2021 18:45,Estadio de la Cerámica,Villarreal,Man. United,Group F,0 - 2
67,5,23/11/2021 21:00,Camp Nou,Barcelona,Benfica,Group E,0 - 0
68,5,23/11/2021 21:00,Stadion Wankdorf,Young Boys,Atalanta,Group F,3 - 3
69,5,23/11/2021 21:00,Stade Pierre Mauroy,LOSC,Salzburg,Group G,1 - 0
70,5,23/11/2021 21:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Wolfsburg,Group G,2 - 0
71,5,23/11/2021 21:00,Malmö New Stadium,Malmö,Zenit,Group H,1 - 1
72,5,23/11/2021 21:00,Stamford Bridge,Chelsea,Juventus,Group H,4 - 0
73,5,24/11/2021 18:45,Besiktas Park,Besiktas,Ajax,Group C,1 - 2
74,5,24/11/2021 18:45,Stadio San Siro,Inter,Shakhtar Donetsk,Group D,2 - 0
75,5,24/11/2021 21:00,Jan Breydelstadion,Club Brugge,Leipzig,Group A,0 - 5
76,5,24/11/2021 21:00,City of Manchester Stadium,Man. City,Paris,Group A,2 - 1
77,5,24/11/2021 21:00,Estadio Metropolitano,Atlético,Milan,Group B,0 - 1
78,5,24/11/2021 21:00,Anfield,Liverpool,Porto,Group B,2 - 0
79,5,24/11/2021 21:00,Estádio José Alvalade,Sporting CP,Dortmund,Group C,3 - 1
80,5,24/11/2021 21:00,Sheriff Stadion,Sheriff,Real Madrid,Group D,0 - 3
81,6,07/12/2021 18:45,Parc des Princes,Paris,Club Brugge,Group A,4 - 1
82,6,07/12/2021 18:45,RB Arena,Leipzig,Man. City,Group A,2 - 1
83,6,07/12/2021 21:00,Stadio San Siro,Milan,Liverpool,Group B,1 - 2
84,6,07/12/2021 21:00,Estádio do Dragão,Porto,Atlético,Group B,1 - 3
85,6,07/12/2021 21:00,BVB Stadion Dortmund,Dortmund,Besiktas,Group C,5 - 0
86,6,07/12/2021 21:00,Johan Cruijff ArenA,Ajax,Sporting CP,Group C,4 - 2
87,6,07/12/2021 21:00,Estadio Santiago Bernabéu,Real Madrid,Inter,Group D,2 - 0
88,6,07/12/2021 21:00,NSC Olimpiyskiy,Shakhtar Donetsk,Sheriff,Group D,1 - 1
89,6,08/12/2021 18:45,Juventus Stadium,Juventus,Malmö,Group H,1 - 0
90,6,08/12/2021 18:45,Gazprom Arena,Zenit,Chelsea,Group H,3 - 3
91,6,08/12/2021 21:00,Estádio do SL Benfica,Benfica,Dynamo Kyiv,Group E,2 - 0
92,6,08/12/2021 21:00,Fußball Arena München,Bayern,Barcelona,Group E,3 - 0
93,6,08/12/2021 21:00,Old Trafford,Man. United,Young Boys,Group F,1 - 1
95,6,08/12/2021 21:00,Stadion Salzburg,Salzburg,Sevilla,Group G,1 - 0
96,6,08/12/2021 21:00,VfL Wolfsburg Arena,Wolfsburg,LOSC,Group G,1 - 3
94,6,09/12/2021 19:00,Stadio di Bergamo,Atalanta,Villarreal,Group F,2 - 3
97,R16 Game 1,15/02/2022 21:00,Parc des Princes,Paris,Real Madrid,,1 - 0
98,R16 Game 1,15/02/2022 21:00,Estádio José Alvalade,Sporting CP,Man. City,,0 - 5
99,R16 Game 1,16/02/2022 21:00,Stadio San Siro,Inter,Liverpool,,0 - 2
100,R16 Game 1,16/02/2022 21:00,Stadion Salzburg,Salzburg,Bayern,,1 - 1
101,R16 Game 1,22/02/2022 21:00,Estadio de la Cerámica,Villarreal,Juventus,,1 - 1
102,R16 Game 1,22/02/2022 21:00,Stamford Bridge,Chelsea,LOSC,,2 - 0
103,R16 Game 1,23/02/2022 21:00,Estadio Metropolitano,Atlético,Man. United,,1 - 1
104,R16 Game 1,23/02/2022 21:00,Estádio do SL Benfica,Benfica,Ajax,,2 - 2
105,R16 Game 2,08/03/2022 21:00,Fußball Arena München,Bayern,Salzburg,,7 - 1
106,R16 Game 2,08/03/2022 21:00,Anfield,Liverpool,Inter,,0 - 1
107,R16 Game 2,09/03/2022 21:00,City of Manchester Stadium,Man. City,Sporting CP,,0 - 0
108,R16 Game 2,09/03/2022 21:00,Estadio Santiago Bernabéu,Real Madrid,Paris,,3 - 1
109,R16 Game 2,15/03/2022 21:00,Johan Cruijff ArenA,Ajax,Benfica,,0 - 1
110,R16 Game 2,15/03/2022 21:00,Old Trafford,Man. United,Atlético,,0 - 1
111,R16 Game 2,16/03/2022 21:00,Stade Pierre Mauroy,LOSC,Chelsea,,1 - 2
112,R16 Game 2,16/03/2022 21:00,Juventus Stadium,Juventus,Villarreal,,0 - 3
113,QF Game 1,05/04/2022 21:00,City of Manchester Stadium,Man. City,Atlético,,1 - 0
114,QF Game 1,05/04/2022 21:00,Estádio do SL Benfica,Benfica,Liverpool,,1 - 3
115,QF Game 1,06/04/2022 21:00,Stamford Bridge,Chelsea,Real Madrid,,1 - 3
116,QF Game 1,06/04/2022 21:00,Estadio de la Cerámica,Villarreal,Bayern,,1 - 0
117,QF Game 2,12/04/2022 21:00,Fußball Arena München,Bayern,Villarreal,,1 - 1
118,QF Game 2,12/04/2022 21:00,Estadio Santiago Bernabéu,Real Madrid,Chelsea,,2 - 3
119,QF Game 2,13/04/2022 21:00,Anfield,Liverpool,Benfica,,3 - 3
120,QF Game 2,13/04/2022 21:00,Estadio Metropolitano,Atlético,Man. City,,0 - 0
121,SF Game 1,26/04/2022 21:00,City of Manchester Stadium,Man. City,Real Madrid,,4 - 3
122,SF Game 1,27/04/2022 21:00,Anfield,Liverpool,Villarreal,,2 - 0
123,SF Game 2,03/05/2022 21:00,Estadio de la Cerámica,Villarreal,Liverpool,,2 - 3
124,SF Game 2,04/05/2022 21:00,Estadio Santiago Bernabéu,Real Madrid,Man. City,,3 - 1
125,Final,28/05/2022 21:00,Stade de France,Liverpool,Real Madrid,,0 - 1
