Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
2,1,14/09/2021 18:45,Stadion Wankdorf,Young Boys,Man. United,Group F,2 - 1
3,1,14/09/2021 18:45,Estadio Ramón Sánchez-Pizjuán,Sevilla,Salzburg,Group G,1 - 1
1,1,14/09/2021 21:00,Estadio de la Cerámica,Villarreal,Atalanta,Group F,2 - 2
4,1,14/09/2021 21:00,NSC Olimpiyskiy,Dynamo Kyiv,Benfica,Group E,0 - 0
5,1,14/09/2021 21:00,Camp Nou,Barcelona,Bayern,Group E,0 - 3
6,1,14/09/2021 21:00,Stade Pierre Mauroy,LOSC,Wolfsburg,Group G,0 - 0
7,1,14/09/2021 21:00,Malmö New Stadium,Malmö,Juventus,Group H,0 - 3
8,1,14/09/2021 21:00,Stamford Bridge,Chelsea,Zenit,Group H,1 - 0
9,1,15/09/2021 18:45,Besiktas Park,Besiktas,Dortmund,Group C,1 - 2
10,1,15/09/2021 18:45,Sheriff Stadion,Sheriff,Shakhtar Donetsk,Group D,2 - 0
11,1,15/09/2021 21:00,Jan Breydelstadion,Club Brugge,Paris,Group A,1 - 1
12,1,15/09/2021 21:00,City of Manchester Stadium,Man. City,Leipzig,Group A,6 - 3
13,1,15/09/2021 21:00,Estadio Metropolitano,Atlético,Porto,Group B,0 - 0
14,1,15/09/2021 21:00,Anfield,Liverpool,Milan,Group B,3 - 2
15,1,15/09/2021 21:00,Estádio José Alvalade,Sporting CP,Ajax,Group C,1 - 5
16,1,15/09/2021 21:00,Stadio San Siro,Inter,Real Madrid,Group D,0 - 1
17,2,28/09/2021 18:45,Johan Cruijff ArenA,Ajax,Besiktas,Group C,2 - 0
18,2,28/09/2021 18:45,NSC Olimpiyskiy,Shakhtar Donetsk,Inter,Group D,0 - 0
19,2,28/09/2021 21:00,Parc des Princes,Paris,Man. City,Group A,2 - 0
20,2,28/09/2021 21:00,RB Arena,Leipzig,Club Brugge,Group A,1 - 2
21,2,28/09/2021 21:00,Estádio do Dragão,Porto,Liverpool,Group B,1 - 5
22,2,28/09/2021 21:00,Stadio San Siro,Milan,Atlético,Group B,1 - 2
23,2,28/09/2021 21:00,BVB Stadion Dortmund,Dortmund,Sporting CP,Group C,1 - 0
24,2,28/09/2021 21:00,Estadio Santiago Bernabéu,Real Madrid,Sheriff,Group D,1 - 2
25,2,29/09/2021 18:45,Stadio di Bergamo,Atalanta,Young Boys,Group F,1 - 0
26,2,29/09/2021 18:45,Gazprom Arena,Zenit,Malmö,Group H,4 - 0
27,2,29/09/2021 21:00,Fußball Arena München,Bayern,Dynamo Kyiv,Group E,5 - 0
28,2,29/09/2021 21:00,Estádio do SL Benfica,Benfica,Barcelona,Group E,3 - 0
29,2,29/09/2021 21:00,Old Trafford,Man. United,Villarreal,Group F,2 - 1
30,2,29/09/2021 21:00,VfL Wolfsburg Arena,Wolfsburg,Sevilla,Group G,1 - 1
