Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
76,2,26/09/2017 20:45,"Stade Louis II, Monaco",Monaco,Porto,Group G,0 - 3
87,2,26/09/2017 20:45,"Westfalenstadion, Dortmund",Borussia Dortmund,Real Madrid,Group H,1 - 3
88,2,26/09/2017 20:45,"GSP Stadium, Nicosia",APOEL,Tottenham Hotspur,Group H,0 - 3
27,2,27/09/2017 18:00,"Tofiq Bahramov Republican Stadium, Baku",Qarabag,Roma,Group C,1 - 2
3,2,27/09/2017 20:45,"St. Jakob-Park, Basel",Basel,Benfica,Group A,5 - 0
4,2,27/09/2017 20:45,"VEB Arena, Moscow",CSKA Moscow,Manchester United,Group A,1 - 4
15,2,27/09/2017 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Bayern Munich,Group B,3 - 0
16,2,27/09/2017 20:45,"Constant Vanden Stock Stadium, Anderlecht",Anderlecht,Celtic,Group B,0 - 3
28,2,27/09/2017 20:45,"Wanda Metropolitano, Madrid",Atlético Madrid,Chelsea,Group C,1 - 2
39,2,27/09/2017 20:45,"Estádio José Alvalade, Lisbon",Sporting CP,Barcelona,Group D,0 - 1
40,2,27/09/2017 20:45,"Juventus Stadium, Turin",Juventus,Olympiacos,Group D,2 - 0
53,3,17/10/2017 20:45,"Otkrytiye Arena, Moscow",Spartak Moscow,Sevilla,Group E,5 - 1
54,3,17/10/2017 20:45,"Ljudski vrt, Maribor",Maribor,Liverpool,Group E,0 - 7
65,3,17/10/2017 20:45,"City of Manchester Stadium, Manchester",Manchester City,Napoli,Group F,2 - 1
66,3,17/10/2017 20:45,"De Kuip, Rotterdam",Feyenoord,Shakhtar Donetsk,Group F,1 - 2
77,3,17/10/2017 20:45,"Stade Louis II, Monaco",Monaco,Besiktas,Group G,1 - 2
78,3,17/10/2017 20:45,"Red Bull Arena, Leipzig",RB Leipzig,Porto,Group G,3 - 2
89,3,17/10/2017 20:45,"GSP Stadium, Nicosia",APOEL,Borussia Dortmund,Group H,1 - 1
90,3,17/10/2017 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Tottenham Hotspur,Group H,1 - 1
29,3,18/10/2017 18:00,"Tofiq Bahramov Republican Stadium, Baku",Qarabag,Atlético Madrid,Group C,0 - 0
5,3,18/10/2017 20:45,"VEB Arena, Moscow",CSKA Moscow,Basel,Group A,0 - 2
6,3,18/10/2017 20:45,"Estádio da Luz, Lisbon",Benfica,Manchester United,Group A,0 - 1
17,3,18/10/2017 20:45,"Constant Vanden Stock Stadium, Anderlecht",Anderlecht,Paris Saint-Germain,Group B,0 - 4
18,3,18/10/2017 20:45,"Allianz Arena, Munich",Bayern Munich,Celtic,Group B,3 - 0
30,3,18/10/2017 20:45,"Stamford Bridge, London",Chelsea,Roma,Group C,3 - 3
41,3,18/10/2017 20:45,"Juventus Stadium, Turin",Juventus,Sporting CP,Group D,2 - 1
42,3,18/10/2017 20:45,"Camp Nou, Barcelona",Barcelona,Olympiacos,Group D,3 - 1
7,4,31/10/2017 20:45,"St. Jakob-Park, Basel",Basel,CSKA Moscow,Group A,1 - 2
8,4,31/10/2017 20:45,"Old Trafford, Manchester",Manchester United,Benfica,Group A,2 - 0
19,4,31/10/2017 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Anderlecht,Group B,5 - 0
20,4,31/10/2017 20:45,"Celtic Park, Glasgow",Celtic,Bayern Munich,Group B,1 - 2
31,4,31/10/2017 20:45,"Wanda Metropolitano, Madrid",Atlético Madrid,Qarabag,Group C,1 - 1
32,4,31/10/2017 20:45,"Stadio Olimpico, Rome",Roma,Chelsea,Group C,3 - 0
43,4,31/10/2017 20:45,"Estádio José Alvalade, Lisbon",Sporting CP,Juventus,Group D,1 - 1
44,4,31/10/2017 20:45,"Karaiskakis Stadium, Piraeus",Olympiacos,Barcelona,Group D,0 - 0
79,4,01/11/2017 18:00,"Vodafone Park, Istanbul",Besiktas,Monaco,Group G,1 - 1
55,4,01/11/2017 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Spartak Moscow,Group E,2 - 1
56,4,01/11/2017 20:45,"Anfield, Liverpool",Liverpool,Maribor,Group E,3 - 0
67,4,01/11/2017 20:45,"Stadio San Paolo, Naples",Napoli,Manchester City,Group F,2 - 4
68,4,01/11/2017 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Feyenoord,Group F,3 - 1
80,4,01/11/2017 20:45,"Estádio do Dragão, Porto",Porto,RB Leipzig,Group G,3 - 1
91,4,01/11/2017 20:45,"Westfalenstadion, Dortmund",Borussia Dortmund,APOEL,Group H,1 - 1
92,4,01/11/2017 20:45,"Wembley Stadium, London",Tottenham Hotspur,Real Madrid,Group H,3 - 1
57,5,21/11/2017 18:00,"Otkrytiye Arena, Moscow",Spartak Moscow,Maribor,Group E,1 - 1
81,5,21/11/2017 18:00,"Vodafone Park, Istanbul",Besiktas,Porto,Group G,1 - 1
58,5,21/11/2017 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Liverpool,Group E,3 - 3
69,5,21/11/2017 20:45,"City of Manchester Stadium, Manchester",Manchester City,Feyenoord,Group F,1 - 0
70,5,21/11/2017 20:45,"Stadio San Paolo, Naples",Napoli,Shakhtar Donetsk,Group F,3 - 0
82,5,21/11/2017 20:45,"Stade Louis II, Monaco",Monaco,RB Leipzig,Group G,1 - 4
93,5,21/11/2017 20:45,"GSP Stadium, Nicosia",APOEL,Real Madrid,Group H,0 - 6
94,5,21/11/2017 20:45,"Westfalenstadion, Dortmund",Borussia Dortmund,Tottenham Hotspur,Group H,1 - 2
9,5,22/11/2017 18:00,"VEB Arena, Moscow",CSKA Moscow,Benfica,Group A,2 - 0
33,5,22/11/2017 18:00,"Tofiq Bahramov Republican Stadium, Baku",Qarabag,Chelsea,Group C,0 - 4
10,5,22/11/2017 20:45,"St. Jakob-Park, Basel",Basel,Manchester United,Group A,1 - 0
21,5,22/11/2017 20:45,"Constant Vanden Stock Stadium, Anderlecht",Anderlecht,Bayern Munich,Group B,1 - 2
22,5,22/11/2017 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Celtic,Group B,7 - 1
34,5,22/11/2017 20:45,"Wanda Metropolitano, Madrid",Atlético Madrid,Roma,Group C,2 - 0
45,5,22/11/2017 20:45,"Juventus Stadium, Turin",Juventus,Barcelona,Group D,0 - 0
46,5,22/11/2017 20:45,"Estádio José Alvalade, Lisbon",Sporting CP,Olympiacos,Group D,3 - 1
11,6,05/12/2017 20:45,"Estádio da Luz, Lisbon",Benfica,Basel,Group A,0 - 2
12,6,05/12/2017 20:45,"Old Trafford, Manchester",Manchester United,CSKA Moscow,Group A,2 - 1
23,6,05/12/2017 20:45,"Allianz Arena, Munich",Bayern Munich,Paris Saint-Germain,Group B,3 - 1
24,6,05/12/2017 20:45,"Celtic Park, Glasgow",Celtic,Anderlecht,Group B,0 - 1
35,6,05/12/2017 20:45,"Stamford Bridge, London",Chelsea,Atlético Madrid,Group C,1 - 1
36,6,05/12/2017 20:45,"Stadio Olimpico, Rome",Roma,Qarabag,Group C,1 - 0
47,6,05/12/2017 20:45,"Camp Nou, Barcelona",Barcelona,Sporting CP,Group D,2 - 0
48,6,05/12/2017 20:45,"Karaiskakis Stadium, Piraeus",Olympiacos,Juventus,Group D,0 - 2
59,6,06/12/2017 20:45,"Ljudski vrt, Maribor",Maribor,Sevilla,Group E,1 - 1
60,6,06/12/2017 20:45,"Anfield, Liverpool",Liverpool,Spartak Moscow,Group E,7 - 0
71,6,06/12/2017 20:45,"De Kuip, Rotterdam",Feyenoord,Napoli,Group F,2 - 1
72,6,06/12/2017 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Manchester City,Group F,2 - 1
83,6,06/12/2017 20:45,"Red Bull Arena, Leipzig",RB Leipzig,Besiktas,Group G,1 - 2
84,6,06/12/2017 20:45,"Estádio do Dragão, Porto",Porto,Monaco,Group G,5 - 2
95,6,06/12/2017 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Borussia Dortmund,Group H,3 - 2
96,6,06/12/2017 20:45,"Wembley Stadium, London",Tottenham Hotspur,APOEL,Group H,3 - 0
97,Round of 16 - Game 1,13/02/2018 20:45,"Juventus Stadium, Turin",Juventus,Tottenham Hotspur,,2 - 2
98,Round of 16 - Game 1,13/02/2018 20:45,"St. Jakob-Park, Basel",Basel,Manchester City,,0 - 4
99,Round of 16 - Game 1,14/02/2018 20:45,"Estádio do Dragão, Porto",Porto,Liverpool,,0 - 5
100,Round of 16 - Game 1,14/02/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Paris Saint-Germain,,3 - 1
101,Round of 16 - Game 1,20/02/2018 20:45,"Stamford Bridge, London",Chelsea,Barcelona,,1 - 1
102,Round of 16 - Game 1,20/02/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Besiktas,,5 - 0
103,Round of 16 - Game 1,21/02/2018 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Manchester United,,0 - 0
104,Round of 16 - Game 1,21/02/2018 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Roma,,2 - 1
105,Round of 16 - Game 2,06/03/2018 20:45,"Anfield, Liverpool",Liverpool,Porto,,0 - 0
106,Round of 16 - Game 2,06/03/2018 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Real Madrid,,1 - 2
107,Round of 16 - Game 2,07/03/2018 20:45,"Wembley Stadium, London",Tottenham Hotspur,Juventus,,1 - 2
108,Round of 16 - Game 2,07/03/2018 20:45,"City of Manchester Stadium, Manchester",Manchester City,Basel,,1 - 2
109,Round of 16 - Game 2,13/03/2018 20:45,"Old Trafford, Manchester",Manchester United,Sevilla,,1 - 2
110,Round of 16 - Game 2,13/03/2018 20:45,"Stadio Olimpico, Rome",Roma,Shakhtar Donetsk,,1 - 0
112,Round of 16 - Game 2,14/03/2018 18:00,"Vodafone Park, Istanbul",Besiktas,Bayern Munich,,1 - 3
111,Round of 16 - Game 2,14/03/2018 20:45,"Camp Nou, Barcelona",Barcelona,Chelsea,,3 - 0
113,Qtr Finals - Game 1,03/04/2018 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Bayern Munich,,1 - 2
114,Qtr Finals - Game 1,03/04/2018 20:45,"Juventus Stadium, Turin",Juventus,Real Madrid,,0 - 3
115,Qtr Finals - Game 1,04/04/2018 20:45,"Anfield, Liverpool",Liverpool,Manchester City,,3 - 0
116,Qtr Finals - Game 1,04/04/2018 20:45,"Camp Nou, Barcelona",Barcelona,Roma,,4 - 1
117,Qtr Finals - Game 2,10/04/2018 20:45,"City of Manchester Stadium, Manchester",Manchester City,Liverpool,,1 - 2
118,Qtr Finals - Game 2,10/04/2018 20:45,"Stadio Olimpico, Rome",Roma,Barcelona,,3 - 0
119,Qtr Finals - Game 2,11/04/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Sevilla,,0 - 0
120,Qtr Finals - Game 2,11/04/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Juventus,,1 - 3
121,Semi Finals - Game 1,24/04/2018 20:45,"Anfield, Liverpool",Liverpool,Roma,,5 - 2
122,Semi Finals - Game 1,25/04/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Real Madrid,,1 - 2
123,Semi Finals - Game 2,01/05/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Bayern Munich,,2 - 2
124,Semi Finals - Game 2,02/05/2018 20:45,"Stadio Olimpico, Rome",Roma,Liverpool,,4 - 2
125,Final,26/05/2018 20:45,"NSC Olimpiyskiy, Ukraine",Real Madrid,Liverpool,,3 - 1
