Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,12/09/2017 20:45,"Estádio da Luz, Lisbon",Benfica,CSKA Moscow,Group A,1 - 2
2,1,12/09/2017 20:45,"Old Trafford, Manchester",Manchester United,Basel,Group A,3 - 0
13,1,12/09/2017 20:45,"Allianz Arena, Munich",Bayern Munich,Anderlecht,Group B,3 - 0
14,1,12/09/2017 20:45,"Celtic Park, Glasgow",Celtic,Paris Saint-Germain,Group B,0 - 5
25,1,12/09/2017 20:45,"Stamford Bridge, London",Chelsea,Qarabag,Group C,6 - 0
26,1,12/09/2017 20:45,"Stadio Olimpico, Rome",Roma,Atlético Madrid,Group C,0 - 0
37,1,12/09/2017 20:45,"Camp Nou, Barcelona",Barcelona,Juventus,Group D,3 - 0
38,1,12/09/2017 20:45,"Karaiskakis Stadium, Piraeus",Olympiacos,Sporting CP,Group D,2 - 3
49,1,13/09/2017 20:45,"Ljudski vrt, Maribor",Maribor,Spartak Moscow,Group E,1 - 1
50,1,13/09/2017 20:45,"Anfield, Liverpool",Liverpool,Sevilla,Group E,2 - 2
61,1,13/09/2017 20:45,"De Kuip, Rotterdam",Feyenoord,Manchester City,Group F,0 - 4
62,1,13/09/2017 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Napoli,Group F,2 - 1
73,1,13/09/2017 20:45,"Red Bull Arena, Leipzig",RB Leipzig,Monaco,Group G,1 - 1
74,1,13/09/2017 20:45,"Estádio do Dragão, Porto",Porto,Besiktas,Group G,1 - 3
85,1,13/09/2017 20:45,"Santiago Bernabéu, Madrid",Real Madrid,APOEL,Group H,3 - 0
86,1,13/09/2017 20:45,"Wembley Stadium, London",Tottenham Hotspur,Borussia Dortmund,Group H,3 - 1
51,2,26/09/2017 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Maribor,Group E,3 - 0
52,2,26/09/2017 20:45,"Otkrytiye Arena, Moscow",Spartak Moscow,Liverpool,Group E,1 - 1
63,2,26/09/2017 20:45,"Stadio San Paolo, Naples",Napoli,Feyenoord,Group F,3 - 1
64,2,26/09/2017 20:45,"City of Manchester Stadium, Manchester",Manchester City,Shakhtar Donetsk,Group F,2 - 0
75,2,26/09/2017 20:45,"Vodafone Park, Istanbul",Besiktas,RB Leipzig,Group G,2 - 0
