Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
60,4,06/11/2019 21:00,Estadio Santiago Bernabéu,Real Madrid,Galatasaray,Group A,6 - 0
61,4,06/11/2019 21:00,Stadion Rajko Mitic,Crvena zvezda,Tottenham,Group B,0 - 4
62,4,06/11/2019 21:00,Stadion Maksimir,Dinamo Zagreb,Shakhtar Donetsk,Group C,3 - 3
63,4,06/11/2019 21:00,Stadio San Siro,Atalanta,Man. City,Group C,1 - 1
64,4,06/11/2019 21:00,BayArena,Leverkusen,Atlético,Group D,2 - 1
65,5,26/11/2019 18:55,Ali Sami Yen Spor Kompleksi,Galatasaray,Club Brugge,Group A,1 - 1
66,5,26/11/2019 18:55,Stadion Lokomotiv,Lokomotiv Moskva,Leverkusen,Group D,0 - 2
67,5,26/11/2019 21:00,Estadio Santiago Bernabéu,Real Madrid,Paris,Group A,2 - 2
68,5,26/11/2019 21:00,Stadion Rajko Mitic,Crvena zvezda,Bayern,Group B,0 - 6
69,5,26/11/2019 21:00,Tottenham Hotspur Stadium,Tottenham,Olympiacos,Group B,4 - 2
70,5,26/11/2019 21:00,Stadio San Siro,Atalanta,Dinamo Zagreb,Group C,2 - 0
71,5,26/11/2019 21:00,City of Manchester Stadium,Man. City,Shakhtar Donetsk,Group C,1 - 1
72,5,26/11/2019 21:00,Juventus Stadium,Juventus,Atlético,Group D,1 - 0
73,5,27/11/2019 18:55,Saint Petersburg Stadium,Zenit,Lyon,Group G,2 - 0
74,5,27/11/2019 18:55,Camp de Mestalla,Valencia,Chelsea,Group H,2 - 2
75,5,27/11/2019 21:00,Anfield,Liverpool,Napoli,Group E,1 - 1
76,5,27/11/2019 21:00,KRC Genk Arena,Genk,Salzburg,Group E,1 - 4
77,5,27/11/2019 21:00,Camp Nou,Barcelona,Dortmund,Group F,3 - 1
78,5,27/11/2019 21:00,Eden Arena,Slavia Praha,Internazionale,Group F,1 - 3
79,5,27/11/2019 21:00,RB Arena,Leipzig,Benfica,Group G,2 - 2
80,5,27/11/2019 21:00,Stade Pierre Mauroy,LOSC,Ajax,Group H,0 - 2
81,6,10/12/2019 18:55,Stadio San Paolo,Napoli,Genk,Group E,4 - 0
82,6,10/12/2019 18:55,Stadion Salzburg,Salzburg,Liverpool,Group E,0 - 2
83,6,10/12/2019 21:00,BVB Stadion Dortmund,Dortmund,Slavia Praha,Group F,2 - 1
84,6,10/12/2019 21:00,Stadio San Siro,Internazionale,Barcelona,Group F,1 - 2
85,6,10/12/2019 21:00,OL Stadium,Lyon,Leipzig,Group G,2 - 2
86,6,10/12/2019 21:00,Estádio do Sport Lisboa e Benfica,Benfica,Zenit,Group G,3 - 0
87,6,10/12/2019 21:00,Stamford Bridge,Chelsea,LOSC,Group H,2 - 1
88,6,10/12/2019 21:00,Johan Cruijff ArenA,Ajax,Valencia,Group H,0 - 1
89,6,11/12/2019 18:55,Stadion Maksimir,Dinamo Zagreb,Man. City,Group C,1 - 4
90,6,11/12/2019 18:55,OSK Metalist Stadion,Shakhtar Donetsk,Atalanta,Group C,0 - 3
91,6,11/12/2019 21:00,Parc des Princes,Paris,Galatasaray,Group A,5 - 0
92,6,11/12/2019 21:00,Jan Breydelstadion,Club Brugge,Real Madrid,Group A,1 - 3
93,6,11/12/2019 21:00,Football Arena Munich,Bayern,Tottenham,Group B,3 - 1
94,6,11/12/2019 21:00,Stadio Georgios Karaiskakis,Olympiacos,Crvena zvezda,Group B,1 - 0
95,6,11/12/2019 21:00,BayArena,Leverkusen,Juventus,Group D,0 - 2
96,6,11/12/2019 21:00,Estadio Metropolitano,Atlético,Lokomotiv Moskva,Group D,2 - 0
97,R16 Game 1,18/02/2020 21:00,Estadio Metropolitano,Atlético,Liverpool,,1 - 0
98,R16 Game 1,18/02/2020 21:00,BVB Stadion Dortmund,Dortmund,Paris,,2 - 1
99,R16 Game 1,19/02/2020 21:00,Stadio San Siro,Atalanta,Valencia,,4 - 1
100,R16 Game 1,19/02/2020 21:00,Tottenham Hotspur Stadium,Tottenham,Leipzig,,0 - 1
101,R16 Game 1,25/02/2020 21:00,Stamford Bridge,Chelsea,Bayern,,0 - 3
102,R16 Game 1,25/02/2020 21:00,Stadio San Paolo,Napoli,Barcelona,,1 - 1
103,R16 Game 1,26/02/2020 21:00,OL Stadium,Lyon,Juventus,,1 - 0
104,R16 Game 1,26/02/2020 21:00,Estadio Santiago Bernabéu,Real Madrid,Man. City,,1 - 2
105,R16 Game 2,10/03/2020 21:00,Camp de Mestalla,Valencia,Atalanta,,3 - 4
106,R16 Game 2,10/03/2020 21:00,RB Arena,Leipzig,Tottenham,,3 - 0
107,R16 Game 2,11/03/2020 21:00,Anfield,Liverpool,Atlético,,2 - 3
108,R16 Game 2,11/03/2020 21:00,Parc des Princes,Paris,Dortmund,,2 - 0
109,R16 Game 2,07/08/2020 21:00,Juventus Stadium,Juventus,Lyon,,2 - 1
110,R16 Game 2,07/08/2020 21:00,City of Manchester Stadium,Man. City,Real Madrid,,2 - 1
111,R16 Game 2,08/08/2020 21:00,Football Arena Munich,Bayern,Chelsea,,4 - 1
112,R16 Game 2,08/08/2020 21:00,Camp Nou,Barcelona,Napoli,,3 - 1
113,Quarter Finals,12/08/2020 21:00,Estádio do Sport Lisboa e Benfica,Atalanta,Paris,,1 - 2
114,Quarter Finals,13/08/2020 21:00,Estádio José Alvalade,Leipzig,Atlético,,2 - 1
115,Quarter Finals,14/08/2020 21:00,Estádio do Sport Lisboa e Benfica,Barcelona,Bayern,,2 - 8
116,Quarter Finals,15/08/2020 21:00,Estádio José Alvalade,Man. City,Lyon,,1 - 3
121,Semi Finals,18/08/2020 21:00,Estádio do Sport Lisboa e Benfica,Leipzig,Paris,,0 - 3
122,Semi Finals,19/08/2020 21:00,Estádio José Alvalade,Lyon,Bayern,,0 - 3
125,Final,23/08/2020 21:00,Estádio do Sport Lisboa e Benfica,Paris,Bayern,,0 - 1
