Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,19/09/2023 18:45,Stadio San Siro,Milan,Newcastle,Group F,0 - 0
2,1,19/09/2023 18:45,Stadion Wankdorf,Young Boys,Leipzig,Group G,1 - 3
3,1,19/09/2023 21:00,Stadion Feijenoord 'De Kuip',Feyenoord,Celtic,Group E,2 - 0
4,1,19/09/2023 21:00,Stadio Olimpico,Lazio,Atlético de Madrid,Group E,1 - 1
5,1,19/09/2023 21:00,Parc des Princes,Paris,Dortmund,Group F,2 - 0
6,1,19/09/2023 21:00,City of Manchester Stadium,Man City,Crvena zvezda,Group G,3 - 1
7,1,19/09/2023 21:00,Estadi Olímpic Lluís Companys,Barcelona,Antwerp,Group H,5 - 0
8,1,19/09/2023 21:00,Volksparkstadion,Shakhtar Donetsk,FC Porto,Group H,1 - 3
9,1,20/09/2023 18:45,Ali Sami Yen Spor Kompleksi,Galatasaray,Copenhagen,Group A,2 - 2
10,1,20/09/2023 18:45,Estadio Santiago Bernabéu,Real Madrid,Union Berlin,Group C,1 - 0
11,1,20/09/2023 21:00,Fußball Arena München,Bayern,Man United,Group A,4 - 3
12,1,20/09/2023 21:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Lens,Group B,1 - 1
13,1,20/09/2023 21:00,Arsenal Stadium,Arsenal,PSV,Group B,4 - 0
14,1,20/09/2023 21:00,Estádio Municipal de Braga,Braga,Napoli,Group C,1 - 2
15,1,20/09/2023 21:00,Reale Arena,Real Sociedad,Inter,Group D,1 - 1
16,1,20/09/2023 21:00,Estádio do SL Benfica,Benfica,Salzburg,Group D,0 - 2
17,2,03/10/2023 18:45,Olympiastadion,Union Berlin,Braga,Group C,2 - 3
18,2,03/10/2023 18:45,Stadion Salzburg,Salzburg,Real Sociedad,Group D,0 - 2
19,2,03/10/2023 21:00,Old Trafford,Man United,Galatasaray,Group A,2 - 3
20,2,03/10/2023 21:00,Parken,Copenhagen,Bayern,Group A,1 - 2
21,2,03/10/2023 21:00,Stade Bollaert-Delelis,Lens,Arsenal,Group B,2 - 1
22,2,03/10/2023 21:00,PSV Stadion,PSV,Sevilla,Group B,2 - 2
23,2,03/10/2023 21:00,Stadio Diego Armando Maradona,Napoli,Real Madrid,Group C,2 - 3
24,2,03/10/2023 21:00,Stadio San Siro,Inter,Benfica,Group D,1 - 0
25,2,04/10/2023 18:45,Estadio Metropolitano,Atlético de Madrid,Feyenoord,Group E,3 - 2
26,2,04/10/2023 18:45,Bosuil,Antwerp,Shakhtar Donetsk,Group H,2 - 3
27,2,04/10/2023 21:00,Celtic Park,Celtic,Lazio,Group E,1 - 2
28,2,04/10/2023 21:00,BVB Stadion Dortmund,Dortmund,Milan,Group F,0 - 0
29,2,04/10/2023 21:00,St James' Park,Newcastle,Paris,Group F,4 - 1
30,2,04/10/2023 21:00,RB Arena,Leipzig,Man City,Group G,1 - 3
31,2,04/10/2023 21:00,Stadion Rajko Mitic,Crvena zvezda,Young Boys,Group G,2 - 2
32,2,04/10/2023 21:00,Estádio do Dragão,FC Porto,Barcelona,Group H,0 - 1
